1	4	3
1	11	4
1	3	3
1	2	4
1	8	3
1	9	2
1	5	4
1	10	4
1	7	3
1	6	3
3	156	1
3	192	4
3	90	3
3	103	4
3	179	2
3	111	4
3	129	4
3	139	3
3	157	1
3	140	2
3	178	4
3	54	4
3	138	1
3	164	3
3	70	2
3	120	2
3	42	0
3	132	4
3	64	4
3	59	4
3	160	3
3	56	2
3	81	2
3	141	4
3	36	2
3	78	4
3	95	3
3	145	4
3	170	2
3	60	4
3	167	4
3	80	2
3	202	4
3	166	4
3	52	4
3	105	3
3	69	3
3	177	2
3	143	1
3	123	3
3	49	3
3	183	2
3	130	2
3	98	2
3	184	1
3	187	2
3	15	1
3	151	4
3	119	2
3	33	2
3	58	4
3	75	3
3	55	2
3	144	4
3	191	2
3	68	4
3	27	4
3	108	0
3	117	4
3	79	2
3	35	4
3	114	4
3	34	3
3	94	4
3	17	3
3	150	2
3	186	3
3	67	4
3	109	3
3	185	2
3	107	4
3	173	2
3	82	3
3	116	1
3	37	2
3	92	2
3	102	4
3	142	4
3	32	2
3	100	0
3	71	4
3	63	1
3	112	3
3	133	3
3	158	4
3	172	0
3	40	4
3	76	0
3	23	3
3	155	4
3	47	2
3	136	4
3	101	3
3	197	3
3	149	3
3	159	1
3	174	4
3	171	1
3	115	4
3	175	1
3	204	3
3	154	1
3	176	3
3	113	1
3	199	3
3	165	3
3	41	4
3	6	0
3	29	3
3	97	4
3	31	3
3	195	1
3	39	4
3	162	4
3	89	0
3	38	2
3	122	2
3	22	2
3	28	3
3	193	4
3	30	4
3	121	2
3	10	3
3	62	4
3	26	1
3	53	4
3	201	3
3	106	3
3	200	1
3	73	0
3	188	4
3	84	3
3	152	3
3	46	1
3	14	0
3	203	3
3	163	3
3	74	2
3	148	3
3	77	3
3	137	1
3	25	1
3	182	3
3	51	0
3	66	4
3	131	2
3	153	2
3	180	2
3	181	4
3	61	0
3	189	4
3	127	0
3	99	3
3	125	2
3	104	2
3	161	4
3	91	1
3	96	4
3	19	4
3	57	0
3	48	4
3	24	4
3	110	4
3	16	4
3	43	4
3	128	0
3	135	3
3	194	3
3	198	4
3	21	1
3	146	1
3	168	4
4	17	0
4	206	3
4	205	3
4	3	2
4	207	2
5	208	3
6	211	3
6	209	4
6	7	3
6	17	3
6	210	4
6	2	4
7	215	3
7	216	4
7	13	2
7	205	2
7	11	4
7	212	4
7	2	4
7	214	1
7	213	1
7	3	0
8	215	4
8	217	4
9	218	4
10	11	4
10	13	4
10	215	4
10	10	4
10	213	0
11	206	3
11	1	3
11	219	3
12	3	3
12	2	3
12	211	2
12	207	4
12	84	1
12	11	4
12	12	4
12	4	3
13	11	4
13	232	3
13	229	0
13	227	3
13	228	4
13	207	2
13	224	0
13	225	0
13	206	4
13	226	2
13	4	4
13	221	1
13	223	3
13	230	3
13	218	3
14	235	0
14	13	4
14	7	3
14	234	4
14	211	4
14	236	4
14	205	0
14	207	0
15	2	4
16	4	2
16	207	4
16	12	3
16	7	3
16	11	3
16	219	3
16	236	2
16	1	3
16	235	3
16	2	4
17	237	2
17	215	4
18	9	3
19	241	3
19	238	2
19	2	4
19	211	3
19	240	2
19	3	2
19	239	3
19	213	3
20	242	3
20	207	2
20	7	3
21	219	4
21	214	4
21	17	4
21	246	4
21	254	3
21	6	4
21	206	3
21	205	4
21	84	4
21	256	3
21	220	4
21	10	3
